name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Xavier Legette,CAR,WR,24.5,11718,11626,16639,130,166,61,9
Miles Sanders,DAL,RB,28.2,5455,6151,14079,128,167,59,98
Rashod Bateman,BAL,WR,25.6,7410,7571,15293,119,168,62,15
Cedric Tillman,CLE,WR,25.3,9904,10444,16191,116,169,63,-27
Jack Bech,LV,WR,22.6,12626,12483,17078,113,170,64,-149
Braelon Allen,NYJ,RB,21.5,11748,11576,16596,100,171,60,5
DeAndre Hopkins,BAL,WR,33.1,4681,1426,11232,89,172,65,-45
Cade Otton,TB,TE,26.3,2021,8111,15802,85,173,22,7
Woody Marks,HOU,RB,24.6,12599,12474,17053,81,174,61,0
Sam Darnold,SEA,QB,28.1,8007,4943,13592,77,175,27,15
Mike Gesicki,CIN,TE,29.8,7291,4993,13672,70,176,23,-28
DJ Giddens,IND,RB,21.9,12656,12471,17060,69,177,62,12
Kareem Hunt,KC,RB,30,6621,4098,13138,65,178,63,22
Jalen McMillan,TB,WR,23.6,11754,11618,16628,60,179,66,1
Quentin Johnston,LAC,WR,23.9,9879,9754,16188,55,180,67,25
Pat Freiermuth,PIT,TE,26.7,2550,7600,15331,54,181,24,-146
Brenton Strange,JAX,TE,24.6,9948,9480,16269,51,182,25,7
Marvin Mims Jr.,DEN,WR,23.3,9955,9494,16189,50,183,68,-25
Jaylin Noel,HOU,WR,22.9,12710,12536,17080,42,184,69,-73
Joshua Palmer,BUF,WR,25.8,2308,7670,15319,34,185,70,30
Jarquez Hunter,LAR,RB,22.6,11707,11569,17064,31,186,64,-122
Chig Okonkwo,TEN,TE,25.9,722,8210,15889,31,187,26,5
Aaron Rodgers,null,QB,41.6,715,96,7836,30,188,28,6
Jacory Croskey-Merritt,WAS,RB,24.3,12697,12533,17256,28,189,65,19
Elijah Arroyo,SEA,TE,22.3,12650,12521,17108,25,190,27,25
Pat Bryant,DEN,WR,22.6,12634,12492,17082,24,191,71,-22
Brashard Smith,KC,RB,22.3,12591,12455,17049,22,192,66,-67
Devin Neal,NO,RB,21.9,12618,12476,17046,19,193,67,-31
Wan'Dale Robinson,NYG,WR,24.5,4091,8126,15757,18,194,72,20
Will Shipley,PHI,RB,22.9,11743,11577,16601,15,195,68,-18
Jaxson Dart,NYG,QB,22.2,12609,12508,17032,13,196,29,12
DeMario Douglas,NE,WR,24.6,9840,9501,16342,8,197,73,0
Romeo Doubs,GB,WR,25.3,2419,8121,15779,6,198,74,-7
Keenan Allen,null,WR,33.2,1334,1479,11222,1,199,75,0
